company_id,price,volume,pe_ratio,revenue,profit,employees
1,1935.2465823520763,3397291,29.75413732061702,4229.1768858150845,18748.468003901573,49278
2,4758.500101408589,3902429,22.489375938343116,6712.589913173987,6304.862525419796,138109
3,3686.770314875885,4994287,12.365771065938567,44992.16957490992,5070.466032685744,122052
4,3033.4265725654795,2590706,17.320608838134795,28279.245982728855,13117.787070293358,39986
5,864.4913381679389,1291902,46.774288978185965,62581.91667472838,12422.856737866276,49799
6,864.373149647393,2592118,35.41920240138599,99251.78664810312,6708.984687831679,76496
7,384.6096996241774,3837973,27.322152740594895,39245.99413457012,18569.22652664475,90778
8,4344.263114297182,2302575,5.572170049410208,57810.284156346825,16912.760317043692,25379
9,3045.4635575417233,564071,49.658693022026156,42144.78569482621,4557.252662715115,169278
10,3569.555631200623,4481137,35.21547207025895,84879.89510446407,4858.936654147012,110876
11,200.86402204943198,875435,19.261511480522522,90321.40394276158,10294.776903052903,101544
12,4852.558275593772,2274606,44.567089699902716,87858.20560832074,15494.084824441334,106400
13,4178.968939922066,3598472,16.629422913131812,97462.8516292465,976.4035498304414,113893
14,1140.4616423235532,3106316,29.480746063223823,3724.399328901114,13897.369559320663,116378
15,990.942339314793,1664718,33.62318436784213,84141.80005240758,12999.89435790373,171716
16,998.6820982818257,2234793,14.94785171541778,75425.44513087024,4706.453908668466,103347
17,1590.7869905017349,1702575,49.027877546026815,23640.746530636112,13658.924963502841,9097
18,2671.306514997965,3913270,38.66863576905489,95675.68924536523,18809.645505916444,106202
19,2216.530591346367,4906425,30.101595147998147,15669.614894764602,1031.0383149381937,85811
20,1527.0227869704054,2478837,13.126756917888539,68275.44278625693,6461.075900312045,116145
21,3098.0791841396594,1624102,7.423619314911176,23264.131464775335,8819.71666166047,40960
22,783.519917195005,3290541,19.402692463444254,43706.68422863339,17995.28114260132,3325
23,1531.5087778225688,764180,38.893430116103126,72196.82979751233,19249.00278752222,110214
24,1895.1730321390894,2483366,17.119908423591127,56769.13956127162,8937.893405277013,190642
25,2334.742922663476,2135848,29.28002992229773,43322.681301483055,15025.565401629605,113318
26,3947.362210825767,2539855,37.757622952883445,33307.504662266736,10680.054372913211,100864
27,1078.4015325759628,304615,9.857467159090895,84126.30591517025,10801.880401353392,107141
28,2619.748748226697,1625233,35.8384107252143,15237.620681166558,5634.180349820494,112324
29,3002.831387424008,3996022,9.134189946952011,43580.18477645021,4417.429292691202,63756
30,327.60702232798883,1903740,48.430838395714844,90471.99960573907,5831.306383888419,183052
31,3076.969774317048,4068222,26.977735852922283,84739.1054955368,11170.927344415879,192250
32,935.5682060677285,3168893,11.780424846944483,40693.23448483162,680.1882018395711,76390
33,418.75280562786963,938003,20.407263621509593,76547.72799652952,18154.253992692476,56733
34,4749.539132541333,3533382,23.603740218286767,82492.92224017707,3210.045820040547,26755
35,4831.59696206534,381570,39.11832549844418,88999.85497635935,4479.764669740593,121218
36,4061.1470057706597,3282993,38.45407037344742,54906.07113587357,10413.695911308163,174773
37,1592.6074689495163,4181082,32.537322740179896,21241.62771941647,14231.283850111859,3214
38,578.593358631281,3495049,9.766882065132183,26275.598573889234,2005.0081894135062,26602
39,3452.741829909569,166150,11.820621721445312,30273.772730118817,6422.124481188527,49868
40,2256.7472193240465,2534206,9.219061429050049,59786.445600151936,19376.62465092971,48228
41,697.9873507394162,659723,30.972775247939754,4248.152788732235,5320.62503894082,151200
42,2526.366859545224,2647500,44.471229868013175,63968.20440921686,6329.697886756623,186737
43,268.50375346457014,3455745,24.52102305146473,37071.069604394965,16746.319963298865,83223
44,4555.6699701860325,1099554,12.238167828098579,30228.938446474574,1099.2671906400597,108355
45,1368.0219098400828,4293060,30.111904631703517,88070.16050208452,9345.80205929852,166505
46,3346.3591933345115,4258634,41.528849758956945,46540.23716249909,7654.373612588238,3274
47,1627.3842728381137,234055,38.37704276808185,10410.251507736586,6400.0765221821575,117869
48,2648.3333037712728,776022,44.66528508537596,82847.93003459845,5785.421921490814,35498
49,2778.8803687820705,909942,17.505594376199053,5716.484486214154,1918.344686722143,167101
50,1005.7868320750825,3979275,13.727924027049868,72948.17319265146,6365.034004097812,135493
51,4850.9646760463365,796358,44.59174186738724,77616.71595529585,956.7428140418045,123649
52,3898.150834469461,3695790,34.59021407501103,35907.65798695696,15641.180886524262,186593
53,4703.544813664526,1941648,18.99180185033994,82653.99777150089,8024.733099764432,72735
54,4484.6540170954795,1788472,38.405662275762914,52050.281179788886,8933.68626316624,23860
55,3029.7098961743172,3928433,41.68032730161656,46866.07167400688,17882.532270357617,142532
56,4617.183751613273,2835264,32.67402081535096,5494.924865400562,13195.294178838292,141485
57,533.6132600544056,4548748,35.954784944596184,29712.890171241685,260.37615650818384,130774
58,1060.3160258538114,2800713,21.886695699919983,93169.98711764468,18869.178976929572,136973
59,321.61371566163655,2408989,29.24130503043676,39790.5723650665,4819.174872956453,14230
60,1694.1186207399953,4237270,28.587162682677302,55123.35153512006,2241.522276721191,145443
61,2004.518719478462,4417922,43.162150600884736,53670.146219440925,15385.750749779556,147247
62,1429.61025569209,4215625,42.798379112698214,59452.67789244664,10059.498585747691,107315
63,4160.813794844454,559297,42.47062112061695,7071.764608684979,8732.034263758549,150156
64,1848.0913007985876,1120154,5.496422641810961,36855.4492250741,5065.111285686561,88195
65,1476.5790974681656,4177151,38.72954680109997,72589.69911437287,10994.682648260141,61042
66,2759.2108074754174,4834963,39.140437554995216,20855.46485622531,5560.2536435314905,144033
67,790.5287023763369,2903696,35.527047028481384,21154.259377089682,18041.501805212643,99070
68,4030.7652056947945,2193373,39.031909605115366,1998.970062213448,4382.569146690536,82303
69,465.298154030877,2472280,42.888666717351896,44310.710734212764,17698.667494069494,192419
70,4935.745989342535,3016623,26.164357434580353,88390.70368666878,11232.167971974404,152149
71,3883.9993695536214,2806871,27.59225960698012,6138.193415143593,16586.913864515296,181789
72,1073.7068395174447,970123,10.612132561012572,19920.75224010426,14285.635317633005,188645
73,127.05837390565176,3086249,22.341914737131283,31698.369295932753,13964.232717591296,88277
74,4095.7609994286872,1959582,33.95143309603029,73440.74891985707,6554.4815731316085,73002
75,3563.600984853324,4544499,40.11798992662735,64422.92368745607,4754.548936296849,92272
76,3672.135123400838,2229885,14.774409396104474,42178.44655360365,4296.635930847684,146802
77,3879.2246987611343,4820642,11.202030462165594,76147.8249865792,17158.113975485816,20156
